probeID,cross-reactive_2013,polymorphic_2013,bowtie2-aligned_2015
cg00000292,FALSE,TRUE,FALSE
cg00000321,FALSE,TRUE,FALSE
cg00000658,FALSE,FALSE,TRUE
cg00000807,FALSE,TRUE,FALSE
cg00000884,FALSE,TRUE,TRUE
cg00000957,FALSE,TRUE,FALSE
cg00001249,FALSE,TRUE,FALSE
cg00001510,TRUE,FALSE,TRUE
cg00001593,FALSE,TRUE,FALSE
cg00001809,FALSE,TRUE,FALSE
cg00002190,FALSE,TRUE,FALSE
cg00002531,FALSE,TRUE,FALSE
cg00002749,FALSE,TRUE,FALSE
cg00003187,FALSE,TRUE,FALSE
cg00003722,FALSE,TRUE,FALSE
cg00003900,FALSE,TRUE,FALSE
cg00003969,TRUE,FALSE,TRUE
cg00004073,FALSE,TRUE,FALSE
cg00004121,TRUE,FALSE,TRUE
cg00004192,TRUE,FALSE,FALSE
cg00004209,TRUE,FALSE,TRUE
cg00004700,FALSE,TRUE,FALSE
cg00004771,TRUE,FALSE,TRUE
cg00004818,FALSE,TRUE,FALSE
cg00004859,FALSE,TRUE,FALSE
cg00005390,TRUE,FALSE,TRUE
cg00005437,FALSE,TRUE,FALSE
cg00005861,FALSE,TRUE,FALSE
cg00006090,FALSE,TRUE,FALSE
cg00006867,FALSE,TRUE,FALSE
cg00007064,FALSE,TRUE,FALSE
cg00007215,TRUE,FALSE,TRUE
cg00007810,TRUE,TRUE,TRUE
cg00008544,FALSE,TRUE,FALSE
cg00008823,FALSE,TRUE,FALSE
cg00009001,FALSE,TRUE,FALSE
cg00009038,TRUE,FALSE,FALSE
cg00009196,FALSE,TRUE,FALSE
cg00009306,FALSE,TRUE,FALSE
cg00009349,FALSE,FALSE,TRUE
cg00009523,FALSE,TRUE,FALSE
cg00009796,TRUE,FALSE,TRUE
cg00009834,FALSE,TRUE,TRUE
cg00009922,FALSE,TRUE,FALSE
cg00009927,FALSE,TRUE,FALSE
cg00010242,TRUE,TRUE,TRUE
cg00010659,FALSE,FALSE,TRUE
cg00010672,FALSE,TRUE,FALSE
cg00011284,FALSE,TRUE,FALSE
cg00011861,FALSE,TRUE,FALSE
cg00011994,TRUE,FALSE,TRUE
cg00012123,FALSE,TRUE,FALSE
cg00012317,FALSE,FALSE,TRUE
cg00012343,TRUE,FALSE,TRUE
cg00012792,FALSE,TRUE,FALSE
cg00012960,FALSE,TRUE,FALSE
cg00013196,TRUE,FALSE,TRUE
cg00013540,TRUE,FALSE,TRUE
cg00013543,TRUE,FALSE,TRUE
cg00014168,TRUE,FALSE,TRUE
cg00014377,FALSE,TRUE,FALSE
cg00014561,TRUE,FALSE,TRUE
cg00014638,FALSE,TRUE,FALSE
cg00014748,TRUE,FALSE,TRUE
cg00014754,FALSE,TRUE,FALSE
cg00014786,FALSE,TRUE,FALSE
cg00014900,FALSE,TRUE,FALSE
cg00015261,TRUE,FALSE,TRUE
cg00015286,TRUE,FALSE,TRUE
cg00015319,FALSE,FALSE,TRUE
cg00015530,FALSE,TRUE,FALSE
cg00015572,TRUE,FALSE,TRUE
cg00015930,FALSE,TRUE,FALSE
cg00016439,FALSE,TRUE,FALSE
cg00016802,TRUE,TRUE,TRUE
cg00016996,FALSE,TRUE,FALSE
cg00017059,FALSE,TRUE,FALSE
cg00017121,FALSE,FALSE,TRUE
cg00017157,FALSE,TRUE,FALSE
cg00017221,TRUE,FALSE,TRUE
cg00017271,FALSE,TRUE,FALSE
cg00017429,FALSE,TRUE,FALSE
cg00017437,TRUE,FALSE,FALSE
cg00018044,FALSE,TRUE,FALSE
cg00018184,FALSE,TRUE,FALSE
cg00018198,FALSE,TRUE,FALSE
cg00018606,FALSE,TRUE,FALSE
cg00018866,FALSE,TRUE,FALSE
cg00019082,FALSE,TRUE,FALSE
cg00019085,FALSE,TRUE,FALSE
cg00019151,FALSE,TRUE,FALSE
cg00019196,FALSE,TRUE,FALSE
cg00019366,FALSE,TRUE,FALSE
cg00019838,FALSE,TRUE,FALSE
cg00019880,FALSE,TRUE,FALSE
cg00020390,FALSE,TRUE,FALSE
cg00020799,FALSE,TRUE,FALSE
cg00021044,TRUE,FALSE,FALSE
cg00021513,FALSE,TRUE,FALSE
cg00021944,FALSE,TRUE,FALSE
cg00022235,FALSE,TRUE,FALSE
cg00022262,TRUE,FALSE,TRUE
cg00022606,TRUE,FALSE,FALSE
cg00022997,FALSE,TRUE,FALSE
cg00023288,FALSE,TRUE,FALSE
cg00023507,FALSE,TRUE,FALSE
cg00023750,TRUE,FALSE,TRUE
cg00024198,FALSE,TRUE,FALSE
cg00024247,FALSE,TRUE,FALSE
cg00025185,TRUE,FALSE,FALSE
cg00025591,FALSE,TRUE,FALSE
cg00026458,FALSE,TRUE,FALSE
cg00027155,FALSE,TRUE,FALSE
cg00027162,FALSE,TRUE,FALSE
cg00027232,FALSE,TRUE,FALSE
cg00027570,FALSE,TRUE,FALSE
cg00027586,FALSE,TRUE,FALSE
cg00028022,FALSE,TRUE,FALSE
cg00028135,FALSE,TRUE,FALSE
cg00028232,TRUE,FALSE,TRUE
cg00028299,FALSE,TRUE,FALSE
cg00028336,FALSE,TRUE,FALSE
cg00028881,FALSE,TRUE,FALSE
cg00029052,TRUE,FALSE,TRUE
cg00029246,FALSE,TRUE,FALSE
cg00029282,FALSE,TRUE,FALSE
cg00029583,FALSE,TRUE,FALSE
cg00029619,FALSE,TRUE,FALSE
cg00029821,FALSE,TRUE,FALSE
cg00029928,TRUE,TRUE,FALSE
cg00029973,FALSE,TRUE,FALSE
cg00030117,FALSE,TRUE,FALSE
cg00030125,TRUE,TRUE,TRUE
cg00030176,TRUE,FALSE,FALSE
cg00030682,FALSE,TRUE,FALSE
cg00030774,FALSE,TRUE,FALSE
cg00031556,TRUE,TRUE,TRUE
cg00031708,FALSE,TRUE,FALSE
cg00031779,FALSE,TRUE,FALSE
cg00032366,FALSE,TRUE,FALSE
cg00032610,FALSE,TRUE,FALSE
cg00033102,TRUE,FALSE,TRUE
cg00033127,TRUE,FALSE,FALSE
cg00033209,FALSE,TRUE,FALSE
cg00033213,FALSE,TRUE,FALSE
cg00033220,FALSE,TRUE,FALSE
cg00033584,TRUE,TRUE,TRUE
cg00033806,FALSE,TRUE,FALSE
cg00034336,FALSE,TRUE,FALSE
cg00034407,TRUE,FALSE,TRUE
cg00034468,TRUE,FALSE,TRUE
cg00034556,TRUE,FALSE,TRUE
cg00034574,FALSE,TRUE,FALSE
cg00034611,FALSE,TRUE,FALSE
cg00034639,TRUE,FALSE,TRUE
cg00034650,FALSE,TRUE,FALSE
cg00034731,FALSE,FALSE,TRUE
cg00035347,FALSE,TRUE,FALSE
cg00035398,FALSE,TRUE,TRUE
cg00035449,FALSE,TRUE,FALSE
cg00035452,TRUE,FALSE,TRUE
cg00035608,FALSE,FALSE,TRUE
cg00035673,FALSE,TRUE,FALSE
cg00035864,TRUE,FALSE,TRUE
cg00035969,FALSE,TRUE,FALSE
cg00036115,FALSE,TRUE,FALSE
cg00036258,FALSE,TRUE,FALSE
cg00036369,FALSE,TRUE,FALSE
cg00036614,TRUE,FALSE,TRUE
cg00038131,TRUE,FALSE,TRUE
cg00038233,TRUE,FALSE,TRUE
cg00038584,FALSE,TRUE,FALSE
cg00038736,FALSE,TRUE,FALSE
cg00038857,FALSE,TRUE,FALSE
cg00038877,FALSE,TRUE,FALSE
cg00039070,FALSE,TRUE,FALSE
cg00039385,FALSE,TRUE,FALSE
cg00039936,TRUE,FALSE,TRUE
cg00040027,FALSE,TRUE,FALSE
cg00040047,FALSE,TRUE,FALSE
cg00040103,FALSE,TRUE,FALSE
cg00040322,FALSE,TRUE,FALSE
cg00040367,FALSE,FALSE,TRUE
cg00040530,FALSE,TRUE,FALSE
cg00040590,FALSE,TRUE,FALSE
cg00040646,FALSE,TRUE,FALSE
cg00040837,FALSE,TRUE,FALSE
cg00041270,FALSE,TRUE,FALSE
cg00041311,FALSE,TRUE,FALSE
cg00041401,FALSE,TRUE,FALSE
cg00041564,FALSE,TRUE,FALSE
cg00041636,TRUE,FALSE,FALSE
cg00041641,TRUE,FALSE,FALSE
cg00042156,FALSE,FALSE,TRUE
cg00042254,TRUE,FALSE,TRUE
cg00042263,FALSE,TRUE,FALSE
cg00042683,FALSE,TRUE,FALSE
cg00043005,FALSE,TRUE,FALSE
cg00043043,FALSE,TRUE,FALSE
cg00043076,FALSE,FALSE,TRUE
cg00044372,FALSE,TRUE,FALSE
cg00044466,FALSE,FALSE,TRUE
cg00044501,TRUE,FALSE,TRUE
cg00044729,FALSE,TRUE,FALSE
cg00045070,FALSE,TRUE,FALSE
cg00045227,FALSE,TRUE,FALSE
cg00045532,TRUE,FALSE,FALSE
cg00045607,FALSE,TRUE,FALSE
cg00045690,FALSE,TRUE,FALSE
cg00045748,TRUE,FALSE,TRUE
cg00045900,FALSE,TRUE,FALSE
cg00046105,FALSE,TRUE,FALSE
cg00046156,FALSE,TRUE,FALSE
cg00046410,FALSE,TRUE,FALSE
cg00047162,TRUE,FALSE,TRUE
cg00047185,FALSE,TRUE,TRUE
cg00047553,TRUE,TRUE,TRUE
cg00047683,FALSE,TRUE,FALSE
cg00048705,FALSE,TRUE,FALSE
cg00048838,TRUE,FALSE,FALSE
cg00049156,FALSE,TRUE,FALSE
cg00049664,FALSE,TRUE,FALSE
